3171,3205
3171,3339
3171,3307
3171,3134
3491,3456
3491,3481
3481,3195
3481,3081
3481,3339
3481,3456
3481,3415
3481,3491
3481,3460
3481,3134
3481,3495
3481,3481
3481,3301
3481,3471
3481,3317
3481,3539
3481,3050
3481,3405
3481,3478
3481,3507
3481,3097
3134,3205
3134,3171
3134,3322
3134,3420
3134,3339
3134,3307
3134,3456
3134,3091
3134,3020
3134,3481
3134,3188
3134,3331
3507,3322
3507,3338
3507,3456
3507,3429
3507,3415
3507,3332
3507,3495
3507,3430
3507,3380
3467,3416
3460,3348
3460,3494
3460,3539
3317,3317
3018,3235
3018,3289
3289,3381
3289,3018
3289,3032
3289,3112
3289,3416
3289,3555
3298,3372
3298,3068
3298,3079
3298,3322
3298,3022
3298,3456
3298,3354
3298,3025
3298,3018
3298,3032
3298,3198
3298,3020
3298,3332
3298,3297
3298,3521
3298,3045
3298,3188
3298,3409
3298,3100
3298,3097
3472,3548
3472,3381
3472,3195
3472,3553
3472,3166
3472,3289
3472,3416
3079,3409
3409,3079
3521,3521
3297,3409
3032,3322
3032,3467
3032,3297
3032,3045
3091,3081
3091,3354
3091,3020
3332,3318
3332,3322
3326,3029
3326,3346
3346,3029
3346,3189
3346,3326
3422,3458
3422,3495
3198,3068
3198,3188
3198,3100
3426,3415
3426,3478
3426,3097
3244,3189
3303,3081
3303,3068
3303,3322
3303,3339
3303,3022
3303,3046
3303,3025
3303,3032
3303,3332
3303,3289
3351,3348
3351,3198
3351,3244
3060,3171
3060,3338
3060,3330
3330,3060
3494,3348
3097,3081
3097,3298
3097,3322
3097,3180
3097,3297
3097,3301
3097,3409
3478,3370
3370,3032
3370,3100
3370,3097
3557,3081
3557,3370
3557,3504
3557,3322
3557,3338
3557,3025
3557,3018
3557,3568
3557,3429
3557,3189
3557,3563
3557,3289
3471,3358
3471,3481
3471,3289
3471,3405
3484,3381
3484,3553
3484,3422
3484,3538
3484,3495
3456,3205
3456,3322
3456,3339
3456,3189
3456,3491
3456,3481
3307,3205
3307,3370
3307,3171
3508,3351
3508,3415
3340,3195
3340,3370
3340,3322
3340,3046
3340,3563
3340,3188
3340,3326
3340,3346
